"id";"latitude";"longitude";"depth";"yearcollected";"tname"
379735548;50.61;-2.42;;1964;"Cystoseira tamariscifolia"
379735577;49.94;-5.20;;1977;"Cystoseira tamariscifolia"
379735774;50.03;-5.21;;1970;"Cystoseira tamariscifolia"
379736797;50.31;-4.67;;1977;"Cystoseira tamariscifolia"
379737304;50.70;-1.15;;1972;"Cystoseira tamariscifolia"
379738054;56.02;-6.33;;1967;"Cystoseira tamariscifolia"
379739154;53.13;-9.19;;1984;"Cystoseira tamariscifolia"
379741925;50.70;-0.86;;1960;"Cystoseira tamariscifolia"
379742988;51.42;-9.58;;1974;"Cystoseira tamariscifolia"
379743014;50.52;-2.14;;1960;"Cystoseira tamariscifolia"
379743041;53.48;-6.04;;1987;"Cystoseira tamariscifolia"
379743063;51.42;-9.43;;1987;"Cystoseira tamariscifolia"
379743068;51.42;-9.43;;1987;"Cystoseira tamariscifolia"
379743071;51.42;-9.43;;1987;"Cystoseira tamariscifolia"
379743072;51.42;-9.43;;1987;"Cystoseira tamariscifolia"
379743113;50.61;-2.00;;1960;"Cystoseira tamariscifolia"
379743460;51.49;-4.30;;1960;"Cystoseira tamariscifolia"
379744458;55.58;-6.12;;1982;"Cystoseira tamariscifolia"
379744873;51.42;-9.43;;1987;"Cystoseira tamariscifolia"
