"id";"latitude";"longitude";"depth";"yearcollected";"tname"
343144540;52.07;-7.56;0.00;1996;"Saccorhiza polyschides"
343144709;51.83;-8.01;0.00;1996;"Saccorhiza polyschides"
343145071;51.55;-8.96;0.00;1996;"Saccorhiza polyschides"
343145861;54.41;-5.62;7.00;1982;"Saccorhiza polyschides"
343146311;54.38;-5.59;4.00;1982;"Saccorhiza polyschides"
365527452;52.83;-4.82;;1998;"Saccorhiza polyschides"
365527492;52.83;-4.82;;1998;"Saccorhiza polyschides"
365528042;52.75;-4.52;;1998;"Saccorhiza polyschides"
365529139;52.83;-4.82;;1998;"Saccorhiza polyschides"
365530999;52.83;-4.82;;1999;"Saccorhiza polyschides"
365532250;52.75;-4.52;;1998;"Saccorhiza polyschides"
365535035;52.83;-4.82;;1998;"Saccorhiza polyschides"
365535917;52.83;-4.82;;1998;"Saccorhiza polyschides"
365536608;52.83;-4.82;;1998;"Saccorhiza polyschides"
365537751;52.83;-4.82;;1998;"Saccorhiza polyschides"
365732346;51.65;-5.32;;2003;"Saccorhiza polyschides"
365733818;51.65;-5.32;;2003;"Saccorhiza polyschides"
366290577;50.58;-4.96;;1977;"Saccorhiza polyschides"
366348620;50.48;-5.10;;1977;"Saccorhiza polyschides"
367226473;52.00;-5.07;;2005;"Saccorhiza polyschides"
367227816;49.88;-6.35;;2010;"Saccorhiza polyschides"
367228604;51.71;-5.10;;2007;"Saccorhiza polyschides"
367228763;49.95;-6.34;;2005;"Saccorhiza polyschides"
367229277;52.69;-9.65;;2010;"Saccorhiza polyschides"
367229305;49.87;-6.36;;2010;"Saccorhiza polyschides"
367229559;56.68;-6.50;;2003;"Saccorhiza polyschides"
367230013;55.20;-7.71;;2010;"Saccorhiza polyschides"
367230159;49.71;-2.16;;2010;"Saccorhiza polyschides"
367230350;50.04;-5.63;;2012;"Saccorhiza polyschides"
367231082;50.60;-1.94;;2009;"Saccorhiza polyschides"
367231121;50.01;-5.08;;2011;"Saccorhiza polyschides"
367231394;55.59;-5.45;;2009;"Saccorhiza polyschides"
367231481;50.36;-3.50;;2009;"Saccorhiza polyschides"
343146694;54.37;-5.64;5.00;1982;"Saccorhiza polyschides"
343147546;55.22;-6.62;1.50;1982;"Saccorhiza polyschides"
343149638;54.30;-5.52;5.00;1982;"Saccorhiza polyschides"
343149787;55.24;-6.35;6.00;1982;"Saccorhiza polyschides"
343149824;55.24;-6.35;1.50;1982;"Saccorhiza polyschides"
343151370;54.42;-5.58;2.00;1982;"Saccorhiza polyschides"
343155498;54.41;-5.61;5.00;1982;"Saccorhiza polyschides"
343155522;54.41;-5.61;0.50;1982;"Saccorhiza polyschides"
343156256;54.35;-5.54;5.00;1982;"Saccorhiza polyschides"
343156432;54.40;-5.61;5.00;1982;"Saccorhiza polyschides"
343157234;54.35;-5.53;5.00;1982;"Saccorhiza polyschides"
343157492;54.37;-5.56;5.00;1982;"Saccorhiza polyschides"
343158859;55.19;-6.06;2.00;1982;"Saccorhiza polyschides"
343159375;55.20;-6.08;5.00;1982;"Saccorhiza polyschides"
343164998;55.30;-6.26;12.00;1982;"Saccorhiza polyschides"
343165133;55.29;-6.27;1.50;1982;"Saccorhiza polyschides"
343166480;54.38;-5.57;10.00;1982;"Saccorhiza polyschides"
343168123;55.22;-6.28;1.50;1982;"Saccorhiza polyschides"
343168388;54.45;-5.62;6.00;1982;"Saccorhiza polyschides"
343168816;54.01;-6.02;3.00;1982;"Saccorhiza polyschides"
343168847;54.01;-6.02;1.00;1982;"Saccorhiza polyschides"
343169022;55.30;-6.18;4.00;1982;"Saccorhiza polyschides"
343172672;54.79;-5.68;3.00;1982;"Saccorhiza polyschides"
343173192;54.35;-5.53;16.00;1982;"Saccorhiza polyschides"
343177517;54.33;-5.53;6.00;1971;"Saccorhiza polyschides"
343178223;54.37;-5.55;8.00;1971;"Saccorhiza polyschides"
343182010;54.32;-5.52;1.00;1982;"Saccorhiza polyschides"
343183274;54.38;-5.59;1.00;1982;"Saccorhiza polyschides"
343183285;54.37;-5.64;1.00;1982;"Saccorhiza polyschides"
343183331;54.31;-9.56;4.00;1996;"Saccorhiza polyschides"
343183476;53.04;-5.95;6.50;1996;"Saccorhiza polyschides"
343185340;51.50;-9.29;5.95;1994;"Saccorhiza polyschides"
343185609;51.63;-9.91;11.60;1993;"Saccorhiza polyschides"
343185691;51.49;-9.29;0.00;1994;"Saccorhiza polyschides"
343185813;51.49;-9.49;3.00;1982;"Saccorhiza polyschides"
343186025;54.38;-8.60;0.00;1994;"Saccorhiza polyschides"
343186127;54.28;-9.05;0.00;1995;"Saccorhiza polyschides"
365197800;54.98;-5.06;;1988;"Saccorhiza polyschides"
365201748;54.96;-5.06;;1976;"Saccorhiza polyschides"
365214497;41.74;-8.87;;2006;"Saccorhiza polyschides"
365215410;41.29;-8.73;;2006;"Saccorhiza polyschides"
365215442;41.29;-8.73;;2006;"Saccorhiza polyschides"
365215533;41.74;-8.87;;2008;"Saccorhiza polyschides"
365215596;41.29;-8.73;;2006;"Saccorhiza polyschides"
365215616;41.19;-8.71;;2007;"Saccorhiza polyschides"
365215644;41.19;-8.71;;2007;"Saccorhiza polyschides"
365215654;41.19;-8.71;;2007;"Saccorhiza polyschides"
365215661;41.74;-8.87;;2007;"Saccorhiza polyschides"
365215731;41.05;-8.65;;2006;"Saccorhiza polyschides"
365215779;41.68;-8.83;;2007;"Saccorhiza polyschides"
365215923;41.29;-8.73;;2007;"Saccorhiza polyschides"
365215960;41.29;-8.73;;2008;"Saccorhiza polyschides"
365215975;41.29;-8.73;;2007;"Saccorhiza polyschides"
365215987;41.29;-8.73;;2007;"Saccorhiza polyschides"
365216001;41.29;-8.73;;2007;"Saccorhiza polyschides"
365216012;41.74;-8.87;;2006;"Saccorhiza polyschides"
365216036;41.74;-8.87;;2006;"Saccorhiza polyschides"
365216060;41.19;-8.71;;2007;"Saccorhiza polyschides"
365218847;41.19;-8.71;;2008;"Saccorhiza polyschides"
365218863;41.29;-8.73;;2006;"Saccorhiza polyschides"
365218886;41.29;-8.73;;2006;"Saccorhiza polyschides"
365219012;41.19;-8.71;;2006;"Saccorhiza polyschides"
365219053;41.29;-8.73;;2007;"Saccorhiza polyschides"
365219106;41.68;-8.83;;2006;"Saccorhiza polyschides"
